Restaurant_Name,City,Cuisine,Cost_for_Two,Online_Delivery,Table_Booking,Rating,Votes,Review
Flavour Hub,Mumbai,Biryani,1921,No,Yes,2.5,239,Average taste and normal service.
Curry House,Hyderabad,Fast Food,394,Yes,Yes,1.9,315,"Terrible experience, will not come again."
Spice Garden,Pune,Multi-cuisine,1098,No,No,2.2,135,"Terrible experience, will not come again."
Curry House,Chennai,Italian,1540,No,Yes,2.5,243,Decent place for casual dining.
Street Feast,Pune,Chinese,1197,No,No,4.9,483,Loved the ambience and the taste was fantastic.
Tasty Treats,Delhi,Desserts,1596,Yes,No,2.0,448,Very bad service and food was cold.
Food Palace,Chennai,Chinese,1384,Yes,Yes,2.6,228,Decent place for casual dining.
Street Feast,Pune,Multi-cuisine,548,No,No,4.4,106,Staff was friendly and food quality was top notch.
Golden Spoon,Bangalore,Biryani,1356,No,No,2.0,390,Not worth the price at all.
Food Palace,Mumbai,Multi-cuisine,516,Yes,No,3.2,124,Average taste and normal service.
Flavour Hub,Mumbai,Chinese,1847,Yes,No,3.4,405,Decent place for casual dining.
Happy Meals,Delhi,Desserts,1738,No,Yes,1.9,409,Very bad service and food was cold.
Curry House,Hyderabad,Desserts,1327,No,No,3.8,65,Nothing special but not bad either.
Happy Meals,Mumbai,North Indian,1023,Yes,No,4.8,273,The food was amazing and service was excellent.
Royal Dine,Bangalore,Desserts,1086,No,No,4.4,149,Loved the ambience and the taste was fantastic.
Street Feast,Mumbai,Fast Food,1273,No,No,1.5,156,Food quality was disappointing.
Happy Meals,Chennai,North Indian,540,No,Yes,3.6,80,It was an okay experience.
Spice Garden,Mumbai,South Indian,413,Yes,Yes,2.7,490,Average taste and normal service.
Tasty Treats,Hyderabad,Italian,437,Yes,Yes,3.9,104,It was an okay experience.
Spice Garden,Delhi,Chinese,1224,No,Yes,3.5,330,Average taste and normal service.
Happy Meals,Mumbai,Fast Food,1260,No,No,4.2,401,"Highly recommended, great experience overall."
Street Feast,Pune,Biryani,1440,Yes,No,1.7,221,Very bad service and food was cold.
Tasty Treats,Bangalore,Chinese,1325,Yes,No,2.3,72,Very bad service and food was cold.
Flavour Hub,Pune,Fast Food,313,Yes,Yes,4.6,381,"Worth the money, will visit again."
Food Palace,Hyderabad,Desserts,1159,Yes,Yes,4.4,468,Loved the ambience and the taste was fantastic.
Happy Meals,Bangalore,Desserts,904,Yes,No,3.7,230,Average taste and normal service.
Spice Garden,Pune,Fast Food,921,Yes,No,3.2,472,It was an okay experience.
Street Feast,Chennai,Desserts,1506,Yes,No,4.4,218,Staff was friendly and food quality was top notch.
Happy Meals,Chennai,Italian,403,No,No,2.1,196,"Terrible experience, will not come again."
Urban Bites,Pune,Italian,1018,No,Yes,1.6,379,"Terrible experience, will not come again."
Tasty Treats,Pune,Fast Food,714,Yes,No,1.8,395,"Terrible experience, will not come again."
Flavour Hub,Bangalore,South Indian,700,No,No,2.7,199,"Food was okay, service was average."
Street Feast,Hyderabad,Fast Food,406,Yes,Yes,3.4,322,"Food was okay, service was average."
Happy Meals,Bangalore,Desserts,711,No,Yes,2.3,248,Food quality was disappointing.
Flavour Hub,Chennai,Multi-cuisine,1670,No,Yes,4.1,58,"Highly recommended, great experience overall."
Food Palace,Chennai,Fast Food,201,No,No,3.8,233,"Food was okay, service was average."
Street Feast,Hyderabad,Multi-cuisine,1000,No,Yes,3.6,177,Average taste and normal service.
Curry House,Mumbai,Biryani,561,No,No,2.9,88,Decent place for casual dining.
Golden Spoon,Mumbai,Desserts,767,No,No,3.8,386,"Food was okay, service was average."
Happy Meals,Hyderabad,Multi-cuisine,1794,Yes,No,3.8,99,"Food was okay, service was average."
Golden Spoon,Hyderabad,Chinese,1727,Yes,No,1.9,293,Not worth the price at all.
Curry House,Hyderabad,North Indian,1387,Yes,No,2.8,170,Nothing special but not bad either.
Spice Garden,Pune,Chinese,373,Yes,Yes,4.8,144,"Highly recommended, great experience overall."
Tasty Treats,Pune,Desserts,1826,No,No,2.2,297,"Terrible experience, will not come again."
Spice Garden,Bangalore,North Indian,1503,Yes,No,5.0,25,"Worth the money, will visit again."
Curry House,Pune,Chinese,938,Yes,No,2.4,183,Very bad service and food was cold.
Flavour Hub,Pune,Biryani,601,Yes,No,4.6,25,"Highly recommended, great experience overall."
Curry House,Delhi,Chinese,666,No,No,4.7,381,"Worth the money, will visit again."
Spice Garden,Bangalore,Multi-cuisine,937,Yes,Yes,3.2,385,Nothing special but not bad either.
Street Feast,Mumbai,Fast Food,947,No,Yes,3.0,479,"Food was okay, service was average."
Food Palace,Delhi,Fast Food,1136,Yes,No,4.3,55,"Highly recommended, great experience overall."
Curry House,Mumbai,Desserts,940,No,No,4.7,326,Staff was friendly and food quality was top notch.
Food Palace,Chennai,Chinese,368,Yes,Yes,4.3,74,"Worth the money, will visit again."
Tasty Treats,Bangalore,Biryani,734,No,No,4.2,97,"Highly recommended, great experience overall."
